/bioinfo/local/build/Centos/python/python-2.7.11/bin/python /bioinfo/users/nservant/Apps/HiC-Pro_2.11.0-beta/scripts/ice --results_filename hic_results/matrix/E12.5_dupL/iced/10000/E12.5_dupL_ontarget_10000_iced.matrix --filter_low_counts_perc 0.02 --filter_high_counts_perc 0 --max_iter 100 --eps 0.1 --remove-all-zeros-loci --output-bias 1 --verbose 1 hic_results/matrix//E12.5_dupL/raw/10000/E12.5_dupL_ontarget_10000.matrix
Using iced version 0.4.2
Loading files...
Normalizing...
Filter 236732 out of 265502 bins ...
Matrix is triangular superior
ICE at iteration 27 1.05341002484e+30
ICE at iteration 28 2.07605971771e+31
ICE at iteration 29 1.32347358854e+32
ICE at iteration 30 2.6492065135e+33
ICE at iteration 31 1.68626460813e+34
ICE at iteration 32 3.41750393978e+35
ICE at iteration 33 2.17221435036e+36
ICE at iteration 34 4.44580293883e+37
ICE at iteration 35 2.82224266721e+38
ICE at iteration 36 5.82115196377e+39
ICE at iteration 37 3.6912733881e+40
ICE at iteration 38 7.66028765625e+41
ICE at iteration 39 4.85295940559e+42
ICE at iteration 40 1.01196863208e+44
ICE at iteration 41 6.40602345363e+44
ICE at iteration 42 1.34090419009e+46
ICE at iteration 43 8.48276060274e+46
ICE at iteration 44 1.78093322171e+48
ICE at iteration 45 1.12604353111e+49
ICE at iteration 46 2.36970312554e+50
ICE at iteration 47 1.49765557331e+51
ICE at iteration 48 3.15765555728e+52
ICE at iteration 49 1.99493425271e+53
ICE at iteration 50 4.21237432029e+54
ICE at iteration 51 2.66051575178e+55
ICE at iteration 52 5.62441151105e+56
ICE at iteration 53 3.5515257935e+57
ICE at iteration 54 7.51509443637e+58
ICE at iteration 55 4.74450463666e+59
ICE at iteration 56 1.00469866768e+61
ICE at iteration 57 6.34200644277e+61
ICE at iteration 58 1.3437905613e+63
ICE at iteration 59 8.4814422444e+63
ICE at iteration 60 1.79797055086e+65
ICE at iteration 61 1.13469292761e+66
ICE at iteration 62 2.40634463147e+67
ICE at iteration 63 1.51851687568e+68
ICE at iteration 64 3.2213119194e+69
ICE at iteration 65 2.03267217085e+70
ICE at iteration 66 4.31308378647e+71
ICE at iteration 67 2.72145180314e+72
ICE at iteration 68 5.775739391e+73
ICE at iteration 69 3.64420580066e+74
ICE at iteration 70 7.73533995127e+75
ICE at iteration 71 4.88046014735e+76
ICE at iteration 72 1.03608016963e+78
ICE at iteration 73 6.53677602724e+78
ICE at iteration 74 1.38784653971e+80
ICE at iteration 75 8.75594107747e+80
ICE at iteration 76 1.85916192538e+82
ICE at iteration 77 1.17292854967e+83
ICE at iteration 78 2.49066592019e+84
ICE at iteration 79 1.57131854131e+85
ICE at iteration 80 3.33681432589e+86
ICE at iteration 81 2.10511771186e+87
ICE at iteration 82 4.47057637526e+88
ICE at iteration 83 2.82035897884e+89
ICE at iteration 84 5.98972893434e+90
ICE at iteration 85 3.77872528661e+91
ICE at iteration 86 8.02529063513e+92
ICE at iteration 87 5.06287033749e+93
ICE at iteration 88 1.07528234866e+95
ICE at iteration 89 6.78354829558e+95
ICE at iteration 90 1.44075768702e+97
ICE at iteration 91 9.08916749257e+97
ICE at iteration 92 1.93047802821e+99
ICE at iteration 93 1.21785922674e+100
ICE at iteration 94 2.58668353352e+101
ICE at iteration 95 1.63182972684e+102
ICE at iteration 96 3.46597526875e+103
ICE at iteration 97 2.18653540078e+104
ICE at iteration 98 4.64419770676e+105
ICE at iteration 99 2.92982325702e+106
Writing results...
/bioinfo/local/build/Centos/python/python-2.7.11/bin/python /bioinfo/users/nservant/Apps/HiC-Pro_2.11.0-beta/scripts/ice --results_filename hic_results/matrix/E12.5_dupL/iced/10000/E12.5_dupL_10000_iced.matrix --filter_low_counts_perc 0.02 --filter_high_counts_perc 0 --max_iter 100 --eps 0.1 --remove-all-zeros-loci --output-bias 1 --verbose 1 rawdata/E12.5_dupL/raw/10000/E12.5_dupL_ontarget_10000.matrix
Using iced version 0.4.2
Loading files...
Normalizing...
Filter 236732 out of 265502 bins ...
Matrix is triangular superior
ICE at iteration 1 69032.0805059
ICE at iteration 2 266199.988013
ICE at iteration 3 1703623.68252
ICE at iteration 4 16524020.4775
ICE at iteration 5 108711408.198
ICE at iteration 6 1191886395.72
ICE at iteration 7 7751950321.92
ICE at iteration 8 94363483146.6
ICE at iteration 9 608628519403.0
ICE at iteration 10 8.10179111251e+12
ICE at iteration 11 5.20069131352e+13
ICE at iteration 12 7.4693173884e+14
ICE at iteration 13 4.78557132696e+15
ICE at iteration 14 7.33302508264e+16
ICE at iteration 15 4.69718786048e+17
ICE at iteration 16 7.6092548913e+18
ICE at iteration 17 4.87590086475e+19
ICE at iteration 18 8.28629204669e+20
ICE at iteration 19 5.31089455165e+21
ICE at iteration 20 9.40373684516e+22
ICE at iteration 21 6.02544897672e+23
ICE at iteration 22 1.10465911956e+25
ICE at iteration 23 7.07236258689e+25
ICE at iteration 24 1.33479934483e+27
ICE at iteration 25 8.53525135344e+27
ICE at iteration 26 1.64983635407e+29
ICE at iteration 27 1.05341002484e+30
ICE at iteration 28 2.07605971771e+31
ICE at iteration 29 1.32347358854e+32
ICE at iteration 30 2.6492065135e+33
ICE at iteration 31 1.68626460813e+34
ICE at iteration 32 3.41750393978e+35
ICE at iteration 33 2.17221435036e+36
ICE at iteration 34 4.44580293883e+37
ICE at iteration 35 2.82224266721e+38
ICE at iteration 36 5.82115196377e+39
ICE at iteration 37 3.6912733881e+40
ICE at iteration 38 7.66028765625e+41
ICE at iteration 39 4.85295940559e+42
ICE at iteration 40 1.01196863208e+44
ICE at iteration 41 6.40602345363e+44
ICE at iteration 42 1.34090419009e+46
ICE at iteration 43 8.48276060274e+46
ICE at iteration 44 1.78093322171e+48
ICE at iteration 45 1.12604353111e+49
ICE at iteration 46 2.36970312554e+50
ICE at iteration 47 1.49765557331e+51
ICE at iteration 48 3.15765555728e+52
ICE at iteration 49 1.99493425271e+53
ICE at iteration 50 4.21237432029e+54
ICE at iteration 51 2.66051575178e+55
ICE at iteration 52 5.62441151105e+56
ICE at iteration 53 3.5515257935e+57
ICE at iteration 54 7.51509443637e+58
ICE at iteration 55 4.74450463666e+59
ICE at iteration 56 1.00469866768e+61
ICE at iteration 57 6.34200644277e+61
ICE at iteration 58 1.3437905613e+63
ICE at iteration 59 8.4814422444e+63
ICE at iteration 60 1.79797055086e+65
ICE at iteration 61 1.13469292761e+66
ICE at iteration 62 2.40634463147e+67
ICE at iteration 63 1.51851687568e+68
ICE at iteration 64 3.2213119194e+69
ICE at iteration 65 2.03267217085e+70
ICE at iteration 66 4.31308378647e+71
ICE at iteration 67 2.72145180314e+72
ICE at iteration 68 5.775739391e+73
ICE at iteration 69 3.64420580066e+74
ICE at iteration 70 7.73533995127e+75
ICE at iteration 71 4.88046014735e+76
ICE at iteration 72 1.03608016963e+78
ICE at iteration 73 6.53677602724e+78
ICE at iteration 74 1.38784653971e+80
ICE at iteration 75 8.75594107747e+80
ICE at iteration 76 1.85916192538e+82
ICE at iteration 77 1.17292854967e+83
ICE at iteration 78 2.49066592019e+84
ICE at iteration 79 1.57131854131e+85
ICE at iteration 80 3.33681432589e+86
ICE at iteration 81 2.10511771186e+87
ICE at iteration 82 4.47057637526e+88
ICE at iteration 83 2.82035897884e+89
ICE at iteration 84 5.98972893434e+90
ICE at iteration 85 3.77872528661e+91
ICE at iteration 86 8.02529063513e+92
ICE at iteration 87 5.06287033749e+93
ICE at iteration 88 1.07528234866e+95
ICE at iteration 89 6.78354829558e+95
ICE at iteration 90 1.44075768702e+97
ICE at iteration 91 9.08916749257e+97
ICE at iteration 92 1.93047802821e+99
ICE at iteration 93 1.21785922674e+100
ICE at iteration 94 2.58668353352e+101
ICE at iteration 95 1.63182972684e+102
ICE at iteration 96 3.46597526875e+103
ICE at iteration 97 2.18653540078e+104
ICE at iteration 98 4.64419770676e+105
ICE at iteration 99 2.92982325702e+106
Writing results...
